wallet_id,score
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,11.513908510465205
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,3.1028270247641743
0x7de76a449cf60ea3e111ff18b28e516d89532152,3.035328039404036
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,37.95598472707786
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,2.78004529414231
0x83ea74c67d393c6894c34c464657bda2183a2f1a,17.60942162260155
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,60.930554340753574
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,4.252938283807651
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,4.696859381868902
0x880a0af12da55df1197f41697c1a1b61670ed410,42.73050836560516
0x8aaece100580b749a20f8ce30338c4e0770b65ed,7.356680056474836
0x8be38ea2b22b706aef313c2de81f7d179024dd30,102.28910446551937
0x8d900f213db5205c529aaba5d10e71a0ed2646db,38.34755120890635
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,2.942650094363094
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,8.291045673345002
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,310.0800819571688
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,1.0671591695782514
0x9a363adc5d382c04d36b09158286328f75672098,62.602619237268506
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,3.3297471041934283
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,148.55771801341317
0x9e6ec4e98793970a1307262ba68d37594e58cd78,394.0972271992018
0xa7e94d933eb0c439dda357f61244a485246e97b8,8.258155576175913
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,767.6268633426015
0xa98dc64bb42575efec7d1e4560c029231ce5da51,23.747054959129244
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,13.601988182294596
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,6.165443344029737
0xb57297c5d02def954794e593db93d0a302e43e5c,22.897928350384156
0xbd4a00764217c13a246f86db58d74541a0c3972a,547.3443440906159
0xc179d55f7e00e789915760f7d260a1bf6285278b,43.60720417910209
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,316.6262356945815
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,384.78527979164244
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,7.379224640020298
0xcf0033bf27804640e5339e06443e208db5870dd2,5.739661200952537
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,9.443380188152277
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,4.828505167655032
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,8.92970319611827
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,13.63574000809385
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,333.3323094870363
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,3.7334410663920563
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,26.157308006844865
0xebb8629e8a3ec86cf90cb7600264415640834483,24.54596573311526
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,5.4973872415168605
0xf10fd8921019615a856c1e95c7cd3632de34edc4,554.0576392710212
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,469.75858326305143
0xf54f36bca969800fd7d63a68029561309938c09b,4.091910542997205
0xf60304b534f74977e159b2e159e135475c245526,72.77286221659247
0xf67e8e5805835465f7eba988259db882ab726800,4.1933653341167645
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,2.882926512901395
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,65.42386032278141
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,4.70372331028256
